Date,Daily minimum temperatures,Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
1981-01-01,18.674750306079492,1981,01-01,0,0,0,0,0,0,0,0,0
1981-01-02,,1981,01-02,0,0,0,0,0,0,0,0,0
1981-01-03,,1981,01-03,0,0,0,0,0,0,0,0,0
1981-01-04,14.758094193076799,1981,01-04,0,0,0,0,0,0,0,0,0
1981-01-05,14.303934531849508,1981,01-05,0,0,0,0,0,0,0,0,0
1981-01-06,15.567995482412575,1981,01-06,0,0,0,0,0,0,0,0,0
1981-01-07,15.8,1981,01-07,0,0,0,0,0,0,0,0,0
1981-01-08,18.31759075978778,1981,01-08,0,0,0,0,0,0,0,0,0
1981-01-09,21.8,1981,01-09,0,0,0,0,0,0,0,0,0
1981-01-10,20.0,1981,01-10,0,0,0,0,0,0,0,0,0
1981-01-11,17.639698240080783,1981,01-11,0,0,0,0,0,0,0,0,0
1981-01-12,13.3,1981,01-12,0,0,0,0,0,0,0,0,0
1981-01-13,17.335672468037945,1981,01-13,0,0,0,0,0,0,0,0,0
1981-01-14,18.165310329637634,1981,01-14,0,0,0,0,0,0,0,0,0
1981-01-15,26.379450313834063,1981,01-15,0,0,0,0,0,0,0,0,0
1981-01-16,21.78673990638613,1981,01-16,0,0,0,0,0,0,0,0,0
1981-01-17,19.065340384285182,1981,01-17,0,0,0,0,0,0,0,0,0
1981-01-18,25.42263931474181,1981,01-18,0,0,0,0,0,0,0,0,0
1981-01-19,15.933672866124285,1981,01-19,0,0,0,0,0,0,0,0,0
1981-01-20,15.5,1981,01-20,0,0,0,0,0,0,0,0,0
1981-01-21,17.869800212400452,1981,01-21,0,0,0,0,0,0,0,0,0
1981-01-22,11.202779497549614,1981,01-22,0,0,0,0,0,0,0,0,0
1981-01-23,14.4,1981,01-23,0,0,0,0,0,0,0,0,0
1981-01-24,16.039542116899955,1981,01-24,0,0,0,0,0,0,0,0,0
1981-01-25,16.5,1981,01-25,0,0,0,0,0,0,0,0,0
1981-01-26,18.982670202194686,1981,01-26,0,0,0,0,0,0,0,0,0
1981-01-27,20.137423217112172,1981,01-27,0,0,0,0,0,0,0,0,0
1981-01-28,18.00262538222726,1981,01-28,0,0,0,0,0,0,0,0,0
1981-01-29,,1981,01-29,0,0,0,0,0,0,0,0,0
1981-01-30,15.1,1981,01-30,0,0,0,0,0,0,0,0,0
1981-01-31,14.758410495742021,1981,01-31,0,0,0,0,0,0,0,0,0
1981-02-01,16.312932429852445,1981,02-01,0,0,0,0,0,0,0,0,0
1981-02-02,18.470522220667068,1981,02-02,0,0,0,0,0,0,0,0,0
1981-02-03,,1981,02-03,0,0,0,0,0,0,0,0,0
1981-02-04,18.894738287122504,1981,02-04,0,0,0,0,0,0,0,0,0
1981-02-05,,1981,02-05,0,0,0,0,0,0,0,0,0
1981-02-06,15.559539473182742,1981,02-06,0,0,0,0,0,0,0,0,0
1981-02-07,15.204280012220819,1981,02-07,0,0,0,0,0,0,0,0,0
1981-02-08,17.1,1981,02-08,0,0,0,0,0,0,0,0,0
1981-02-09,25.0,1981,02-09,0,0,0,0,0,0,0,0,0
1981-02-10,15.419320655195651,1981,02-10,0,0,0,0,0,0,0,0,0
1981-02-11,16.548975147134364,1981,02-11,0,0,0,0,0,0,0,0,0
1981-02-12,11.936065914159656,1981,02-12,0,0,0,0,0,0,0,0,0
1981-02-13,,1981,02-13,0,0,0,0,0,0,0,0,0
1981-02-14,22.504722039160914,1981,02-14,0,0,0,0,0,0,0,0,0
1981-02-15,22.1,1981,02-15,0,0,0,0,0,0,0,0,0
1981-02-16,22.269503743384856,1981,02-16,0,0,0,0,0,0,0,0,0
1981-02-17,18.603908226340206,1981,02-17,0,0,0,0,0,0,0,0,0
1981-02-18,17.90144035456539,1981,02-18,0,0,0,0,0,0,0,0,0
1981-02-19,16.1,1981,02-19,0,0,0,0,0,0,0,0,0
1981-02-20,15.690481384095728,1981,02-20,0,0,0,0,0,0,0,0,0
1981-02-21,16.6,1981,02-21,0,0,0,0,0,0,0,0,0
1981-02-22,16.5,1981,02-22,0,0,0,0,0,0,0,0,0
1981-02-23,15.408889579833987,1981,02-23,0,0,0,0,0,0,0,0,0
1981-02-24,16.304715752551274,1981,02-24,0,0,0,0,0,0,0,0,0
1981-02-25,18.5,1981,02-25,0,0,0,0,0,0,0,0,0
1981-02-26,16.9,1981,02-26,0,0,0,0,0,0,0,0,0
1981-02-27,18.812904946972484,1981,02-27,0,0,0,0,0,0,0,0,0
1981-02-28,22.813894357271455,1981,02-28,0,0,0,0,0,0,0,0,0
1981-03-01,14.90726553192276,1981,03-01,0,0,0,0,0,0,0,0,0
1981-03-02,18.37092428378614,1981,03-02,0,0,0,0,0,0,0,0,0
1981-03-03,14.58992053920254,1981,03-03,0,0,0,0,0,0,0,0,0
1981-03-04,15.759732977203743,1981,03-04,0,0,0,0,0,0,0,0,0
1981-03-05,14.227389051991365,1981,03-05,0,0,0,0,0,0,0,0,0
1981-03-06,14.3,1981,03-06,0,0,0,0,0,0,0,0,0
1981-03-07,12.826428086142844,1981,03-07,0,0,0,0,0,0,0,0,0
1981-03-08,16.3,1981,03-08,0,0,0,0,0,0,0,0,0
1981-03-09,19.32052369126634,1981,03-09,0,0,0,0,0,0,0,0,0
1981-03-10,12.83628671958428,1981,03-10,0,0,0,0,0,0,0,0,0
1981-03-11,12.058609304288677,1981,03-11,0,0,0,0,0,0,0,0,0
1981-03-12,15.80827864152258,1981,03-12,0,0,0,0,0,0,0,0,0
1981-03-13,8.912797938178059,1981,03-13,0,0,0,0,0,0,0,0,0
1981-03-14,10.709207320058397,1981,03-14,0,0,0,0,0,0,0,0,0
1981-03-15,10.6,1981,03-15,0,0,0,0,0,0,0,0,0
1981-03-16,11.949150115851307,1981,03-16,0,0,0,0,0,0,0,0,0
1981-03-17,14.2,1981,03-17,0,0,0,0,0,0,0,0,0
1981-03-18,11.709684672613687,1981,03-18,0,0,0,0,0,0,0,0,0
1981-03-19,,1981,03-19,0,0,0,0,0,0,0,0,0
1981-03-20,,1981,03-20,0,0,0,0,0,0,0,0,0
1981-03-21,,1981,03-21,0,0,0,0,0,0,0,0,0
1981-03-22,9.342773742708555,1981,03-22,0,0,0,0,0,0,0,0,0
1981-03-23,7.865553557275822,1981,03-23,0,0,0,0,0,0,0,0,0
1981-03-24,15.099529146934643,1981,03-24,0,0,0,0,0,0,0,0,0
1981-03-25,10.755094487075068,1981,03-25,0,0,0,0,0,0,0,0,0
1981-03-26,13.467979318182541,1981,03-26,0,0,0,0,0,0,0,0,0
1981-03-27,12.955255331880586,1981,03-27,0,0,0,0,0,0,0,0,0
1981-03-28,14.533553077776661,1981,03-28,0,0,0,0,0,0,0,0,0
1981-03-29,13.02337003409078,1981,03-29,0,0,0,0,0,0,0,0,0
1981-03-30,15.139346812930786,1981,03-30,0,0,0,0,0,0,0,0,0
1981-03-31,15.052373508789843,1981,03-31,0,0,0,0,0,0,0,0,0
1981-04-01,16.7,1981,04-01,0,0,0,0,0,0,0,0,0
1981-04-02,16.8,1981,04-02,0,0,0,0,0,0,0,0,0
1981-04-03,17.158528094174017,1981,04-03,0,0,0,0,0,0,0,0,0
1981-04-04,17.1,1981,04-04,0,0,0,0,0,0,0,0,0
1981-04-05,17.024294153711793,1981,04-05,0,0,0,0,0,0,0,0,0
1981-04-06,16.25176365410943,1981,04-06,0,0,0,0,0,0,0,0,0
1981-04-07,8.60487139263507,1981,04-07,0,0,0,0,0,0,0,0,0
1981-04-08,17.66974809005423,1981,04-08,0,0,0,0,0,0,0,0,0
1981-04-09,,1981,04-09,0,0,0,0,0,0,0,0,0
1981-04-10,,1981,04-10,0,0,0,0,0,0,0,0,0
1981-04-11,7.3689020007701185,1981,04-11,0,0,0,0,0,0,0,0,0
1981-04-12,11.5,1981,04-12,0,0,0,0,0,0,0,0,0
1981-04-13,13.5,1981,04-13,0,0,0,0,0,0,0,0,0
1981-04-14,15.820562299533483,1981,04-14,0,0,0,0,0,0,0,0,0
1981-04-15,14.417173351460606,1981,04-15,0,0,0,0,0,0,0,0,0
1981-04-16,11.431814427041394,1981,04-16,0,0,0,0,0,0,0,0,0
1981-04-17,12.4,1981,04-17,0,0,0,0,0,0,0,0,0
1981-04-18,13.485493169828564,1981,04-18,0,0,0,0,0,0,0,0,0
1981-04-19,13.841625315058419,1981,04-19,0,0,0,0,0,0,0,0,0
1981-04-20,10.6,1981,04-20,0,0,0,0,0,0,0,0,0
1981-04-21,9.0,1981,04-21,0,0,0,0,0,0,0,0,0
1981-04-22,10.0,1981,04-22,0,0,0,0,0,0,0,0,0
1981-04-23,11.718198521344664,1981,04-23,0,0,0,0,0,0,0,0,0
1981-04-24,11.621451637859453,1981,04-24,0,0,0,0,0,0,0,0,0
1981-04-25,8.9,1981,04-25,0,0,0,0,0,0,0,0,0
1981-04-26,7.422113046752449,1981,04-26,0,0,0,0,0,0,0,0,0
1981-04-27,9.071293336536396,1981,04-27,0,0,0,0,0,0,0,0,0
1981-04-28,9.3,1981,04-28,0,0,0,0,0,0,0,0,0
1981-04-29,9.9,1981,04-29,0,0,0,0,0,0,0,0,0
1981-04-30,7.391735438237725,1981,04-30,0,0,0,0,0,0,0,0,0
1981-05-01,8.6,1981,05-01,0,0,0,0,0,0,0,0,0
1981-05-02,11.9,1981,05-02,0,0,0,0,0,0,0,0,0
1981-05-03,13.860017600638045,1981,05-03,0,0,0,0,0,0,0,0,0
1981-05-04,9.05668534187955,1981,05-04,0,0,0,0,0,0,0,0,0
1981-05-05,9.073083888417823,1981,05-05,0,0,0,0,0,0,0,0,0
1981-05-06,13.5,1981,05-06,0,0,0,0,0,0,0,0,0
1981-05-07,12.0,1981,05-07,0,0,0,0,0,0,0,0,0
1981-05-08,9.104863814627224,1981,05-08,0,0,0,0,0,0,0,0,0
1981-05-09,10.640742174885574,1981,05-09,0,0,0,0,0,0,0,0,0
1981-05-10,8.405603568073284,1981,05-10,0,0,0,0,0,0,0,0,0
1981-05-11,9.890666687364572,1981,05-11,0,0,0,0,0,0,0,0,0
1981-05-12,10.486891265556618,1981,05-12,0,0,0,0,0,0,0,0,0
1981-05-13,,1981,05-13,0,0,0,0,0,0,0,0,0
1981-05-14,5.439567355679284,1981,05-14,0,0,0,0,0,0,0,0,0
1981-05-15,9.921008323775524,1981,05-15,0,0,0,0,0,0,0,0,0
1981-05-16,11.767867013459222,1981,05-16,0,0,0,0,0,0,0,0,0
1981-05-17,9.8,1981,05-17,0,0,0,0,0,0,0,0,0
1981-05-18,4.393240734356929,1981,05-18,0,0,0,0,0,0,0,0,0
1981-05-19,,1981,05-19,0,0,0,0,0,0,0,0,0
1981-05-20,2.1,1981,05-20,0,0,0,0,0,0,0,0,0
1981-05-21,3.814505058573563,1981,05-21,0,0,0,0,0,0,0,0,0
1981-05-22,5.246785665984632,1981,05-22,0,0,0,0,0,0,0,0,0
1981-05-23,10.051646964394498,1981,05-23,0,0,0,0,0,0,0,0,0
1981-05-24,10.848296097331648,1981,05-24,0,0,0,0,0,0,0,0,0
1981-05-25,,1981,05-25,0,0,0,0,0,0,0,0,0
1981-05-26,12.6,1981,05-26,0,0,0,0,0,0,0,0,0
1981-05-27,11.50544306437075,1981,05-27,0,0,0,0,0,0,0,0,0
1981-05-28,12.201246601150855,1981,05-28,0,0,0,0,0,0,0,0,0
1981-05-29,12.857771096658071,1981,05-29,0,0,0,0,0,0,0,0,0
1981-05-30,,1981,05-30,0,0,0,0,0,0,0,0,0
1981-05-31,12.8,1981,05-31,0,0,0,0,0,0,0,0,0
1981-06-01,11.16880212573254,1981,06-01,0,0,0,0,0,0,0,0,0
1981-06-02,,1981,06-02,0,0,0,0,0,0,0,0,0
1981-06-03,9.8,1981,06-03,0,0,0,0,0,0,0,0,0
1981-06-04,12.981028164504625,1981,06-04,0,0,0,0,0,0,0,0,0
1981-06-05,7.258797125331197,1981,06-05,0,0,0,0,0,0,0,0,0
1981-06-06,5.5267578366934105,1981,06-06,0,0,0,0,0,0,0,0,0
1981-06-07,1.7416743862978394,1981,06-07,0,0,0,0,0,0,0,0,0
1981-06-08,,1981,06-08,0,0,0,0,0,0,0,0,0
1981-06-09,4.6,1981,06-09,0,0,0,0,0,0,0,0,0
1981-06-10,,1981,06-10,0,0,0,0,0,0,0,0,0
1981-06-11,5.7,1981,06-11,0,0,0,0,0,0,0,0,0
1981-06-12,6.148351654398635,1981,06-12,0,0,0,0,0,0,0,0,0
1981-06-13,,1981,06-13,0,0,0,0,0,0,0,0,0
1981-06-14,11.4,1981,06-14,0,0,0,0,0,0,0,0,0
